date,forecast_btc_usd
2024-08-10,60851.36392368563
2024-08-11,61186.90860863414
2024-08-12,61267.073369501995
2024-08-13,61841.2138022549
2024-08-14,63471.145137431966
2024-08-15,63714.03477435251
2024-08-16,64132.36211230711
2024-08-17,66178.41126277471
2024-08-18,66484.082181884
2024-08-19,66735.03521413366
2024-08-20,68303.79536942848
2024-08-21,68521.23567639322
2024-08-22,68512.98437562592
2024-08-23,67454.59049246483
2024-08-24,66957.71451726422
2024-08-25,67025.70120691547
2024-08-26,66766.55228072497
2024-08-27,67238.08516593892
2024-08-28,66960.85280997894
2024-08-29,66268.40182949796
2024-08-30,66317.70004857433
2024-08-31,66010.36118979075
2024-09-01,66197.21995884493
2024-09-02,66315.46718256008
2024-09-03,66053.1026866085
2024-09-04,65805.00692182938
2024-09-05,65310.85620445402
2024-09-06,64956.47789286793
2024-09-07,65240.06722227475
2024-09-08,65906.21478929183
